2025-08-06 16:02:48,634 INFO    MainThread:12880 [wandb_init.py:setup_run_log_directory():647] Logging user logs to C:\Users\mdiqb\Desktop\Ovarian_Cancer\codebase\codebase_wash2_pa_reviewed_data\wandb\run-20250806_160248-l8t264mx\logs\debug.log
2025-08-06 16:02:48,635 INFO    MainThread:12880 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to C:\Users\mdiqb\Desktop\Ovarian_Cancer\codebase\codebase_wash2_pa_reviewed_data\wandb\run-20250806_160248-l8t264mx\logs\debug-internal.log
2025-08-06 16:02:48,635 INFO    MainThread:12880 [wandb_init.py:init():761] calling init triggers
2025-08-06 16:02:48,635 INFO    MainThread:12880 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'k_fold': 5, 'batch_size': 16, 'radiomics': False, 'encoder_checkpoint': 'normtverskyloss_binary_segmentation', 'input_dim': '256x256:64', 'model_type': 'BinaryClassificationTorch', 'info': 'Training without PyTorch Lightning', '_wandb': {}}
2025-08-06 16:02:48,635 INFO    MainThread:12880 [wandb_init.py:init():784] starting backend
2025-08-06 16:02:48,635 INFO    MainThread:12880 [wandb_init.py:init():788] sending inform_init request
2025-08-06 16:02:48,635 INFO    MainThread:12880 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn, using: spawn
2025-08-06 16:02:48,637 INFO    MainThread:12880 [wandb_init.py:init():803] backend started and connected
2025-08-06 16:02:48,637 INFO    MainThread:12880 [wandb_init.py:init():896] updated telemetry
2025-08-06 16:02:48,664 INFO    MainThread:12880 [wandb_init.py:init():920] communicating run to backend with 90.0 second timeout
2025-08-06 16:02:48,959 INFO    MainThread:12880 [wandb_init.py:init():995] starting run threads in backend
2025-08-06 16:02:49,117 INFO    MainThread:12880 [wandb_run.py:_console_start():2377] atexit reg
2025-08-06 16:02:49,117 INFO    MainThread:12880 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-08-06 16:02:49,117 INFO    MainThread:12880 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-08-06 16:02:49,117 INFO    MainThread:12880 [wandb_run.py:_redirect():2317] Redirects installed.
2025-08-06 16:02:49,118 INFO    MainThread:12880 [wandb_init.py:init():1037] run started, returning control to user process
2025-08-06 16:03:03,152 INFO    MainThread:12880 [wandb_run.py:_finish():2112] finishing run iqbal1282/PA-SO2-Ovarian-Cancer-Classification-Washu2/l8t264mx
2025-08-06 16:03:03,152 INFO    MainThread:12880 [wandb_run.py:_atexit_cleanup():2342] got exitcode: 0
2025-08-06 16:03:03,152 INFO    MainThread:12880 [wandb_run.py:_restore():2324] restore
2025-08-06 16:03:03,152 INFO    MainThread:12880 [wandb_run.py:_restore():2330] restore done
2025-08-06 16:03:04,598 INFO    MsgRouterThr:12880 [mailbox.py:close():115] Closing mailbox, abandoning 1 handles.
2025-08-06 16:03:04,598 INFO    MainThread:12880 [wandb_run.py:_footer_history_summary_info():3958] rendering history
2025-08-06 16:03:04,598 INFO    MainThread:12880 [wandb_run.py:_footer_history_summary_info():3990] rendering summary
2025-08-06 16:03:04,599 INFO    MainThread:12880 [wandb_run.py:_footer_sync_info():3919] logging synced files
